,date,temperature,humidity
0,2021-01-23 21:01:31.761050,26.34,35.34
1,2021-01-23 21:01:36.764838,26.32,35.41
2,2021-01-23 21:01:41.793208,26.3,35.67
3,2021-01-23 21:01:47.099052,26.28,35.55
4,2021-01-23 21:01:51.715572,26.27,35.51
5,2021-01-23 21:01:57.272508,26.26,35.56
6,2021-01-23 21:02:01.756392,26.25,35.52
7,2021-01-23 21:02:07.178377,26.24,35.58
8,2021-01-23 21:02:11.788598,26.25,35.63
9,2021-01-23 21:02:16.829304,26.29,36.01
10,2021-01-23 21:02:21.731240,26.33,36.5
11,2021-01-23 21:02:27.149550,26.38,36.37
12,2021-01-23 21:02:31.762218,26.45,36.27
13,2021-01-23 21:02:36.779502,26.51,35.71
14,2021-01-23 21:02:41.800281,26.58,35.92
15,2021-01-23 21:02:46.920520,26.64,35.44
16,2021-01-23 21:02:51.831846,26.69,35.22
